zip,latitude,longitude,INCNUM
46225,39.7626481,-86.1578388,27685
46235,39.8111703,-85.9912817,27641
46219,39.7713659,-86.06320149999999,12317
46254,39.8381121,-86.24415350000001,23957
46218,39.7943521,-86.0880651,14244
46219,39.770894,-86.053529,11886
46222,39.8077863,-86.2120975,12056
46204,39.7642862,-86.1600108,27236
46218,39.7925775,-86.1090716,27564
46217,39.6804975,-86.1744209,27769
46218,39.8204989,-86.1153975,27867
46225,39.7640344,-86.1587622,14317
46201,39.770029,-86.09040139999999,27890
46254,39.8339957,-86.2701565,27907
46254,39.8259723,-86.2281259,30973
46222,39.7962228,-86.2208721,28144
46227,39.713339,-86.12104400000001,27795
46205,39.803318,-86.1443658,27889
46226,39.818022,-86.0644105,12524
46225,39.7377435,-86.16436279999999,12640
46225,39.7631191,-86.1577606,27906
46222,39.7745043,-86.21571569999999,27947
46222,39.7883054,-86.2154396,38161
46222,39.7802644,-86.2156191,27993
46225,39.7633,-86.158569,27994
46202,39.7820934,-86.1683571,28083
46201,39.7741112,-86.1229085,32991
46221,39.7518095,-86.1983568,28173
46227,39.7268303,-86.1393808,28234
46254,39.82426299999999,-86.2601589,28289
46228,39.8660231,-86.1823478,28270
46221,39.6857689,-86.2398274,27965
46208,39.8249214,-86.16156199999999,28076
46221,39.7183802,-86.2312726,11850
46204,39.7707668,-86.1569734,11927
46203,39.75020600000001,-86.095068,12039
46219,39.797004,-86.057711,12057
46201,39.7862568,-86.09307450000001,12158
46217,39.6501162,-86.1588417,12159
46203,39.7426529,-86.113169,12181
46254,39.8381121,-86.24415350000001,24069
46241,39.7584762,-86.24549909999999,12382
46202,39.7782809,-86.1369347,12421
46204,39.7663047,-86.15932389999999,12464
46278,39.8822402,-86.264782,28269
46225,39.7286831,-86.1622699,11847
46235,39.8340566,-86.008456,12521
46222,39.7688909,-86.1895223,12740
46225,39.7549366,-86.1428117,12776
46201,39.7703066,-86.0989151,11862
46218,39.8190994,-86.09398990000001,12226
46259,39.6549983,-86.0188419,12735
46221,39.7135219,-86.2489724,21812
46241,39.7443104,-86.24972629999999,12782
46224,39.776794,-86.26895359999999,12816
46225,39.7653729,-86.16150499999999,12840
46219,39.7943589,-86.0477436,12871
46235,39.8260952,-86.00986499999999,12899
46227,39.6940895,-86.1496354,34260
46227,39.7025993,-86.13035359999999,13023
46203,39.7381473,-86.11953969999999,13102
46235,39.8353669,-86.0018331,13154
46251,39.7153667,-86.2777801,17811
46241,39.7571807,-86.2252908,13082
46205,39.8139914,-86.1243476,12525
46204,39.7713971,-86.15172609999999,12120
46235,39.8208493,-86.002378,12420
46225,39.7369091,-86.14017609999999,13157
46220:46240,39.8715723,-86.1437061,13163
46221,39.7139509,-86.23796039999999,13225
46219,39.7707911,-86.0520841,14435
46225,39.763425,-86.157719,13135
46203,39.7689083,-86.1017073,13215
46201,39.7731366,-86.1057244,13651
46239,39.7080183,-86.00500149999999,13707
46214,39.789048,-86.29475099999999,13717
Postcode Not Found,NA,NA,39656
46226,39.8176596,-86.0655654,30303
46231,39.7487135,-86.3080847,13772
46225,39.7611686,-86.15964300000002,13790
46203,39.7557189,-86.1297769,13827
46225,39.7299038,-86.1605707,13934
46260,39.9111954,-86.21564479999999,13195
46222,39.7732292,-86.21091609999999,13306
46204,39.7755127,-86.1456906,13426
46218,39.77151569999999,-86.1159942,13441
46254,39.823716,-86.2578685,13470
46226,39.8243394,-86.0441171,13583
46201,39.7694575,-86.0973641,13561
46227,39.6604628,-86.1417865,13565
46241,39.7488861,-86.2569869,12572
46218,39.8265369,-86.114972,28108
46221,39.7367537,-86.2502866,28247
46217,39.6867703,-86.21964760000002,28266
46201,39.7721474,-86.09378799999999,13704
46222,39.7858581,-86.2172539,13720
46218,39.8263123,-86.10899979999999,13903
46222,39.7680084,-86.2041321,28380
46205,39.798366,-86.1417666,28456
46203,39.7310271,-86.138009,28522
46222,39.7796928,-86.197195,28491
46260,39.889119,-86.197906,28523
46205,39.8460352,-86.13122849999999,28314
46226,39.803215,-86.0654922,28359
46220,39.8251256,-86.1462274,28656
46241,39.7611453,-86.2367344,28740
46226,39.8393874,-86.064443,28790
46221,39.698119,-86.2514155,28785
46205,39.8103521,-86.14725419999999,28803
46202,39.795554,-86.1673556,13812
46219,39.7850898,-86.0693263,28357
46254,39.8258681,-86.2477622,28394
46241,39.7524288,-86.2546462,35228
46201,39.7622803,-86.11380609999999,13957
46250,39.9070036,-86.0506103,12664
46222,39.7688909,-86.1895223,12849
