OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,RACE,SEX,CIT_AGE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM
1001,7670,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-13,21:48:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,6101,Keystone,Avenue,N,Indianapolis,3432,Black,Female,22,3112,White,Male,38,6,15-012
1002,7670,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-13,21:48:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Use of Force,"Unreasonable Force (Hands, Fists, Feet)",Exonerated,Incident Location,6101,Keystone,Avenue,N,Indianapolis,3432,Black,Female,22,3112,White,Male,38,6,15-012
1003,7670,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-13,21:48:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Bias-Based Profiling,Race,Exonerated,Incident Location,6101,Keystone,Avenue,N,Indianapolis,3432,Black,Female,22,3112,White,Male,38,6,15-012
1004,7674,Citizen Complaint,Traffic Stop,CPCO (Formal),2015-03-09,21:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,,,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and SOPs while off duty",Sustained,Incident Location,3200,Interstate 65 (S/B),,N,Indianapolis,3434,Black,Male,41,824,White,Male,48,17,15-011
1005,7674,Citizen Complaint,Traffic Stop,CPCO (Formal),2015-03-09,21:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,,,Violation of Any Rule,"Failure to conform to the department's rules, regulations, orders, policies, and SOPs while off duty",Sustained,Incident Location,3200,Interstate 65 (S/B),,N,Indianapolis,3434,Black,Male,41,824,White,Male,48,17,15-011
1006,7674,Citizen Complaint,Traffic Stop,CPCO (Formal),2015-03-09,21:00:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,,,Violation of Any Rule,"Failure to obey all orders, rules, regulations, policies, and SOPs",Sustained,Incident Location,3200,Interstate 65 (S/B),,N,Indianapolis,3434,Black,Male,41,824,White,Male,48,17,15-011
1007,6202,Citizen Complaint,Call For Service,CPCO (Formal),2014-12-20,03:00:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,5218,Pinebrook,Drive,,Indianapolis,2395,Black,Female,,1843,Hispanic,Male,40,11,14-081
1008,7699,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-14,22:30:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,2544,Executive,Drive,,Indianapolis,3458,Hispanic,Female,55,2487,White,Male,36,7,15-013
1009,7699,Citizen Complaint,Call For Service,CPCO (Formal),2015-03-14,22:30:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,,Citizen Interaction,Failure to make a report when approached by a citizen,Not Sustained,Incident Location,2544,Executive,Drive,,Indianapolis,3458,Hispanic,Female,55,2487,White,Male,36,7,15-013
1010,7704,Citizen Complaint,Not Applicable,CPCO (Informal),2015-03-24,21:20:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Vehicle Operation,Aggressive or unsafe driving,Unfounded,Incident Location,10200,Pendleton ,Pike,,Lawrence,3460,Unknown,Male,,780,Black,Male,53,23,15-634
