OBJECTID,ZIPCODE,SHAPEAREA,SHAPELEN
367,46204,32356660.8692414,55176.3020764867
72,46203,396926536.319573,185043.82586899
76,46206,716080.332375751,3856.18974719983
47,46235,244431293.304117,131799.345996188
48,46231,321710272.716164,144256.887093839
49,46077,735445771.440787,125920.258999258
50,46222,5279.7398353013,396.883636352861
51,46113,424166779.691376,127628.266829009
52,46201,152818564.253325,74251.1118116971
53,46226,388146722.929925,136347.206663474
54,46256,358264009.64418,150516.984639712
55,46254,357586789.760312,116454.201683352
56,46216,95557744.8431515,48925.6563438177
57,46222,323391847.98671,108371.2304468
58,46224,197734277.33343,82196.5587724539
59,46234,321118383.820514,140562.51413781
60,46237,408575844.842826,148577.391395461
61,46183,3460276.69400863,10770.6733983797
62,46219,374999709.669568,128436.316926198
63,46236,314604.336535621,3187.37723047263
64,46225,118999630.812856,77056.7059457164
65,46221,577375535.0731,188719.079467168
66,46236,319493421.208136,161637.410215805
67,46240,287495252.794537,99800.1295414982
68,46107,82327296.7592461,81832.7251027159
69,46278,370758033.208946,112515.484212244
70,46229,32974.2671837713,739.658566046078
71,46260,999707.435857438,5876.33774300136
73,46202,168320543.900823,122255.604771948
74,46259,477336058.476762,145118.553633079
75,46205,179509793.703512,101533.876364895
77,46260,283167280.769103,97841.2930747482
78,46217,591959764.222282,142234.477090766
79,46241,692959110.139638,181927.659691811
80,46250,214458891.493968,78326.3720483232
81,46208,186343873.103159,97051.7375902743
82,46229,309048279.459223,118696.541215248
83,46235,67908.8649053285,1096.38781138679
84,46218,267965159.69694,102736.604014184
85,46227,459306603.977556,120461.24505529
86,46214,206791860.314242,98560.3573522203
87,46268,362687707.555548,117960.918415619
89,46239,810590893.728446,186841.699381924
90,46228,223069096.680584,80303.0807471266
91,46220,339667684.689718,124536.48513525
