OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
3001,30556,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-26,2018,8,26,20:56:00:000,20,RESERVES,CYCLES,Unreported,Unreported,Citizen Interaction,Failure to make a report when approached by a citizen,Exonerated,Incident Location,4545,Lafayette,Road,N,Indianapolis,18008,Unreported,Female,24,70,White,Male,58,23,18-727,2018-08-27T00:56:00Z
3002,30556,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-26,2018,8,26,20:56:00:000,20,RESERVES,CYCLES,Unreported,Unreported,Unreported,Unreported,Exonerated,Incident Location,4545,Lafayette,Road,N,Indianapolis,18008,Unreported,Female,24,70,White,Male,58,23,18-727,2018-08-27T00:56:00Z
3003,30637,Citizen Complaint,Unreported,CPCO (Informal),2018-08-07,2018,8,7,14:40:00:000,14,HOMELAND SECURITY DIVISION,DIGNITARY PROTECTION,Unreported,Unreported,Citizen Interaction,"Rude, demeaning, or affronting gestures",Exonerated,Incident Location,420,University,Blvd,NA,Indianapolis,10796,White,Male,121,2603,White,Male,61,39,18-734,2018-08-07T18:40:00Z
3004,30637,Citizen Complaint,Unreported,CPCO (Informal),2018-08-07,2018,8,7,14:40:00:000,14,HOMELAND SECURITY DIVISION,DIGNITARY PROTECTION,Unreported,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Exonerated,Incident Location,420,University,Blvd,NA,Indianapolis,10796,White,Male,121,2603,White,Male,61,39,18-734,2018-08-07T18:40:00Z
3005,30638,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-11,2018,8,11,16:00:00:000,16,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,Unreported,Unreported,Not Sustained,Incident Location,5935,Madison,Avenue,NA,Indianapolis,18076,White,Male,52,576,White,Male,54,31,18-735,2018-08-11T20:00:00Z
3006,30638,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-11,2018,8,11,16:00:00:000,16,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,5935,Madison,Avenue,NA,Indianapolis,18076,White,Male,52,576,White,Male,54,31,18-735,2018-08-11T20:00:00Z
3007,30638,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-11,2018,8,11,16:00:00:000,16,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,Unreported,Unreported,Not Sustained,Incident Location,5935,Madison,Avenue,NA,Indianapolis,18076,White,Male,52,576,White,Male,54,31,18-735,2018-08-11T20:00:00Z
3008,30638,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-11,2018,8,11,16:00:00:000,16,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TRAFFIC,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,Unreported,Unreported,Not Sustained,Incident Location,5935,Madison,Avenue,NA,Indianapolis,18076,White,Male,52,576,White,Male,54,31,18-735,2018-08-11T20:00:00Z
3009,30639,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-21,2018,8,21,12:20:00:000,12,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,Bias-Based Profiling,Race,Exonerated,Incident Location,3000,Lafayette,Road,NA,Indianapolis,18077,Bi-Racial,Male,121,231,White,Female,52,29,18-736,2018-08-21T16:20:00Z
3010,30639,Citizen Complaint,Traffic Stop,CPCO (Informal),2018-08-21,2018,8,21,12:20:00:000,12,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW DAY SHIFT,NW DAY SHIFT,Bias-Based Profiling,National origin,Exonerated,Incident Location,3000,Lafayette,Road,NA,Indianapolis,18077,Bi-Racial,Male,121,231,White,Female,52,29,18-736,2018-08-21T16:20:00Z
3011,30641,Citizen Complaint,Unreported,CPCO (Informal),2018-08-23,2018,8,23,15:00:00:000,15,RESERVES,CYCLES,Unreported,Unreported,Vehicle Operation,Aggressive or unsafe driving,Not Sustained,Incident Location,4107,Washington,Street,E,Indianapolis,18078,Unreported,Male,121,2328,White,Male,38,12,18-737,2018-08-23T19:00:00Z
3012,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Unfounded,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,3455,White,Male,38,2,18-738,2018-08-21T23:00:00Z
3013,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Neglect of Duty,"Failure to make and turn in all reports promptly, accurately, and completely in conformity with department orders.",Unfounded,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,3455,White,Male,38,2,18-738,2018-08-21T23:00:00Z
3014,30645,Citizen Complaint,Call For Service,CPCO (Informal),2018-08-21,2018,8,21,19:00:00:000,19,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,Unreported,Citizen Interaction,"Rude, demeaning, or affronting language",Not Sustained,Incident Location,201,Shadeland,Avenue,N,Indianapolis,18079,White,Female,62,1378,White,Male,40,16,18-738,2018-08-21T23:00:00Z
