OBJECTID,INCNUM,YMD_TM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,STREET_N,STREET,STREET_T,STREET_G,CITY,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CIT_NUM,CIT_RACE,CIT_SEX,CIT_AGE,CIT_COND_TYPE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE,STATE,OCCURRED_WEEK_DAY,OCCURRED_HOUR,OCCURRED_QUARTER,OCCURRED_YEAR,"""INDOT"""
1001,34144,2019-02-14T20:01:00Z,2019-02-14,20:01:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,LAFAYETTE,ROAD, ,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,CALL FOR SERVICE,YES,BATTERY F,UNREPORTED,NO,YES,YES,NO,1061,BLACK,MALE,29,NO INJURIES NOTED OR VISIBLE,3501,WHITE,MALE,29,2,NO INJURIES NOTED OR VISIBLE,IN,Thu,20,1,2019,INDOT
1002,4277,2014-08-08T03:12:00Z,2014-08-08,03:12:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,SOUTHPORT,ROAD,W,INDIANAPOLIS,TASER,RESISTING ARREST,ARREST,YES,OWI M,UNREPORTED,NO,NO,NO,NO,1075,WHITE,MALE,37,NO INJURIES NOTED OR VISIBLE,2524,WHITE,FEMALE,39,6,NO INJURIES NOTED OR VISIBLE,IN,Fri,3,3,2014,INDOT
1004,4291,2014-08-10T04:53:00Z,2014-08-10,04:53:00:000,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,BRYAN,COURT, ,INDIANAPOLIS,TASER,RESISTING ARREST,ARREST,YES,BATTERY M,UNREPORTED,NO,NO,NO,NO,1092,WHITE,MALE,33,TASER STRIKE,2036,WHITE,MALE,40,7,NO INJURIES NOTED OR VISIBLE,IN,Sun,4,3,2014,INDOT
1007,4440,2014-08-23T19:51:00Z,2014-08-23,19:51:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE TACTICAL SHIFT,UNREPORTED,IN COMPLIANCE,4545,38TH,STREET,W,INDIANAPOLIS,BODY WEIGHT LEVERAGE,RESISTING ARREST,CALL FOR SERVICE,YES,BATTERY BY BODILY WASTE,UNREPORTED,YES,YES,NO,NO,1193,BLACK,MALE,36,LACERATION,1969,WHITE,MALE,39,11,NO INJURIES NOTED OR VISIBLE,IN,Sat,19,3,2014,INDOT
1010,4469,2014-08-26T02:25:00Z,2014-08-26,02:25:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,62ND,STREET,W,INDIANAPOLIS,UNREPORTED,FLEEING,SELF-INITIATED ACTIVITY,YES,POSSESSION OF CONTROLLED SUBSTANCE F,UNREPORTED,YES,YES,YES,YES,1220,BLACK,MALE,34,NO INJURIES NOTED OR VISIBLE,3033,BLACK,MALE,39,4,MINOR BLEEDING,IN,Tue,2,3,2014,INDOT
1011,4483,2014-08-28T23:45:00Z,2014-08-28,23:45:00:000,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,ROENA,STREET,S,INDIANAPOLIS,PERSONAL CS/OC SPRAY,RESISTING ARREST,ARREST,YES,DEALING IN METHAMPHETAMINE,UNREPORTED,NO,NO,NO,NO,1234,WHITE,MALE,48,UNREPORTED,2487,WHITE,MALE,36,7,UNREPORTED,IN,Thu,23,3,2014,INDOT
1019,4612,2014-09-05T02:19:00Z,2014-09-05,02:19:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,10TH,STREET,E,INDIANAPOLIS,TASER,FLEEING,ARREST,YES,ROBBERY,UNREPORTED,NO,NO,NO,NO,1303,BLACK,MALE,999999,NO INJURIES NOTED OR VISIBLE,2403,WHITE,MALE,32,8,NO INJURIES NOTED OR VISIBLE,IN,Fri,2,3,2014,INDOT
1023,26380,2018-02-26T00:57:00Z,2018-02-26,00:57:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,IN COMPLIANCE,4545,EUCLID,AVENUE,N,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,ARREST,YES,RESISTING LAW ENFORCEMENT F,UNREPORTED,YES,NO,NO,NO,156,BLACK,MALE,37,SWELLING,3242,WHITE,MALE,33,3,UNREPORTED,IN,Mon,0,1,2018,INDOT
1022,31593,2018-10-21T09:55:00Z,2018-10-21,09:55:00:000,OPERATIONS DIVISION,DOWNTOWN DISTRICT,DT DAY SHIFT,UNREPORTED,IN COMPLIANCE,4545,MARYLAND,STREET,W,INDIANAPOLIS,PHYSICAL,ASSAULTING OFFICER(S),CALL FOR SERVICE,YES,BATTERY M,UNREPORTED,NO,NO,NO,NO,1317,WHITE,MALE,47,NO INJURIES NOTED OR VISIBLE,667,WHITE,MALE,49,23,NO INJURIES NOTED OR VISIBLE,IN,Sun,9,4,2018,INDOT
1029,4613,2014-09-03T20:29:00Z,2014-09-03,20:29:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,IN COMPLIANCE,4545,RAWLES,AVENUE,E,INDIANAPOLIS,PHYSICAL,RESISTING ARREST,CALL FOR SERVICE,YES,DOMESTIC BATTERY F,UNREPORTED,YES,NO,YES,NO,1304,WHITE,MALE,24,MINOR BLEEDING,2897,WHITE,MALE,37,5,NO INJURIES NOTED OR VISIBLE,IN,Wed,20,3,2014,INDOT
