lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.1587622,39.7640344,1001,5098,2014-10-10,02:21:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"200 S Meridian Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Arrest,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,1618,Black,Male,22,No injuries noted or visible,2160,White,Male,41,16,Unreported
-86.10540759999999,39.84506270000001,1002,5108,2014-10-09,22:58:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"4900 N Fall Creek Pkwy, Indianapolis, IN",Canine bite,Non-Compliant,Request For PSD,Yes,Robbery,Unreported,Yes,No,No,No,1631,Black,Male,23,Canine bite,1964,White,Male,40,11,Unreported
-86.10540759999999,39.84506270000001,1003,5108,2014-10-09,22:58:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"4900 N Fall Creek Pkwy, Indianapolis, IN",Canine bite,Non-Compliant,Request For PSD,Yes,Possession of a Handgun (F),Unreported,Yes,No,No,No,1631,Black,Male,23,Canine bite,1964,White,Male,40,11,Unreported
-86.1599745,39.8138682,1004,5109,2014-10-10,17:29:00:000,Operations division,North district,ND MIDDLE SHIFT,UNREPORTED,In compliance,"126 W 32nd Street, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Arrest,Yes,Possession of a Handgun (F),Unreported,No,No,No,No,1625,Black,Male,36,No injuries noted or visible,2510,White,Male,30,6,Unreported
-86.1599745,39.8138682,1005,5109,2014-10-10,17:29:00:000,Operations division,North district,ND MIDDLE SHIFT,UNREPORTED,In compliance,"126 W 32nd Street, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Arrest,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,1625,Black,Male,36,No injuries noted or visible,2510,White,Male,30,6,Unreported
-86.17927000000002,39.784982,1006,5112,2014-10-04,23:13:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"1201   Indiana Avenue, Indianapolis, IN",Body weight leverage,Combative Suspect,Call For Service,Yes,Resisting Law Enforcement (M),Unreported,No,No,Yes,Yes,1632,Black,Female,18,Complaint of pain,695,White,Male,40,15,Head bump
-86.204473,39.7927164,1007,5113,2014-10-10,19:00:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1924   King Avenue, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Warrant Service,Yes,Dealing Marijuana,Unreported,Yes,No,No,No,1633,Black,Male,37,Laceration,897,White,Male,40,17,Unreported
-86.204473,39.7927164,1008,5113,2014-10-10,19:00:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1924   King Avenue, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Warrant Service,Yes,Possession of a Handgun (F),Unreported,Yes,No,No,No,1633,Black,Male,37,Laceration,897,White,Male,40,17,Unreported
-86.204473,39.7927164,1009,5113,2014-10-10,19:00:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1924   King Avenue, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Warrant Service,Yes,Possession of Cocaine (F),Unreported,Yes,No,No,No,1633,Black,Male,37,Laceration,897,White,Male,40,17,Unreported
-86.204473,39.7927164,1010,5113,2014-10-10,19:00:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1924   King Avenue, Indianapolis, IN","Hands, fist, feet",Non-Compliant,Warrant Service,Yes,Dealing Cocaine,Unreported,Yes,No,No,No,1633,Black,Male,37,Laceration,897,White,Male,40,17,Unreported
-86.24367199999999,39.750471,1011,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Resisting Law Enforcement (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,373,White,Male,40,12,No injuries noted or visible
-86.24367199999999,39.750471,1012,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Battery (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,373,White,Male,40,12,No injuries noted or visible
-86.24367199999999,39.750471,1013,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Criminal Mischief (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,373,White,Male,40,12,No injuries noted or visible
-86.24367199999999,39.750471,1014,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Resisting Law Enforcement (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,2443,White,Male,35,9,No injuries noted or visible
-86.24367199999999,39.750471,1015,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Battery (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,2443,White,Male,35,9,No injuries noted or visible
-86.24367199999999,39.750471,1016,5114,2014-10-10,23:55:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"4944 W Morris Street, Indianapolis, IN","Hands, fist, feet",Resisting Arrest,Assisting a Citizen,Yes,Criminal Mischief (M),Unreported,Yes,No,No,No,1348,White,Male,43,Minor bleeding,2443,White,Male,35,9,No injuries noted or visible
-86.2605648,39.8192829,1017,5116,2014-10-10,16:33:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - DAY TACTICAL,In compliance,"3546   Patton Dr, Indianapolis, IN",Canine bite,Resisting Arrest,Request For PSD,Yes,Possession of Controlled Substance,Unreported,Yes,Yes,No,No,1637,White,Male,21,Canine bite,1026,White,Male,38,14,Unreported
-86.2605648,39.8192829,1018,5116,2014-10-10,16:33:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - DAY TACTICAL,In compliance,"3546   Patton Dr, Indianapolis, IN",Canine bite,Resisting Arrest,Request For PSD,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,1637,White,Male,21,Canine bite,1026,White,Male,38,14,Unreported
-86.2605648,39.8192829,1019,5116,2014-10-10,16:33:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - DAY TACTICAL,In compliance,"3546   Patton Dr, Indianapolis, IN",Canine bite,Resisting Arrest,Request For PSD,Yes,Burglary,Unreported,Yes,Yes,No,No,1637,White,Male,21,Canine bite,1026,White,Male,38,14,Unreported
-86.2605648,39.8192829,1020,5116,2014-10-10,16:33:00:000,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - DAY TACTICAL,In compliance,"3546   Patton Dr, Indianapolis, IN",Canine bite,Resisting Arrest,Request For PSD,Yes,Theft/Receiving Stolen Property,Unreported,Yes,Yes,No,No,1637,White,Male,21,Canine bite,1026,White,Male,38,14,Unreported
-86.06765589999999,39.786947,1021,5121,2014-10-11,20:39:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"1347 N Bolton Avenue, Indianapolis, IN",Taser,Fleeing,Call For Service,Yes,Battery (F),Unreported,No,No,Yes,No,1642,Bi-racial,Male,29,No injuries noted or visible,3065,Black,Male,32,2,Unreported
