OBJECTID,INCNUM,INCIDENT_TYPE,SERVICE_TYPE,SOURCE,OCCURRED_DT,OCCURRED_YEAR,OCCURRED_MONTH,OCCURRED_DAY,OCCURRED_TM,OCCURRED_HOUR,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,ALG_CLASS,ALLEGATION,FINDING,ADDR_TXT,CITY,CITNUM,CIT_RACE,CIT_SEX,CIT_AGE,OFF_NUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,LINKNUM,OCCURRED_DATE_AND_TIME
1001,7670,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-13,2015,3,13,21:48:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3432,BLACK,FEMALE,22,3112,WHITE,MALE,38,6,15-012,2015-03-14T01:48:00Z
1002,7670,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-13,2015,3,13,21:48:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,USE OF FORCE,"UNREASONABLE FORCE (HANDS, FISTS, FEET)",EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3432,BLACK,FEMALE,22,3112,WHITE,MALE,38,6,15-012,2015-03-14T01:48:00Z
1003,7670,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-13,2015,3,13,21:48:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,BIAS-BASED PROFILING,RACE,EXONERATED,INCIDENT LOCATION,INDIANAPOLIS,3432,BLACK,FEMALE,22,3112,WHITE,MALE,38,6,15-012,2015-03-14T01:48:00Z
1004,7674,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2015-03-09,2015,3,9,21:00:00:000,21,OPERATIONS DIVISION,SOUTHWEST DISTRICT,UNREPORTED,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO CONFORM TO THE DEPARTMENT'S RULES, REGULATIONS, ORDERS, POLICIES, AND SOPS WHILE OFF DUTY",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3434,BLACK,MALE,41,824,WHITE,MALE,48,17,15-011,2015-03-10T01:00:00Z
1005,7674,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2015-03-09,2015,3,9,21:00:00:000,21,OPERATIONS DIVISION,SOUTHWEST DISTRICT,UNREPORTED,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO CONFORM TO THE DEPARTMENT'S RULES, REGULATIONS, ORDERS, POLICIES, AND SOPS WHILE OFF DUTY",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3434,BLACK,MALE,41,824,WHITE,MALE,48,17,15-011,2015-03-10T01:00:00Z
1006,7674,CITIZEN COMPLAINT,TRAFFIC STOP,CPCO (FORMAL),2015-03-09,2015,3,9,21:00:00:000,21,OPERATIONS DIVISION,SOUTHWEST DISTRICT,UNREPORTED,UNREPORTED,VIOLATION OF ANY RULE,"FAILURE TO OBEY ALL ORDERS, RULES, REGULATIONS, POLICIES, AND SOPS",SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3434,BLACK,MALE,41,824,WHITE,MALE,48,17,15-011,2015-03-10T01:00:00Z
1007,6202,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2014-12-20,2014,12,20,03:00:00:000,3,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,2395,BLACK,FEMALE,99999,1843,HISPANIC,MALE,40,11,14-081,2014-12-20T08:00:00Z
1008,7699,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-14,2015,3,14,22:30:00:000,22,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,"RUDE, DEMEANING, OR AFFRONTING LANGUAGE",NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3458,HISPANIC,FEMALE,55,2487,WHITE,MALE,36,7,15-013,2015-03-15T02:30:00Z
1009,7699,CITIZEN COMPLAINT,CALL FOR SERVICE,CPCO (FORMAL),2015-03-14,2015,3,14,22:30:00:000,22,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,CITIZEN INTERACTION,FAILURE TO MAKE A REPORT WHEN APPROACHED BY A CITIZEN,NOT SUSTAINED,INCIDENT LOCATION,INDIANAPOLIS,3458,HISPANIC,FEMALE,55,2487,WHITE,MALE,36,7,15-013,2015-03-15T02:30:00Z
1010,7704,CITIZEN COMPLAINT,NOT APPLICABLE,CPCO (INFORMAL),2015-03-24,2015,3,24,21:20:00:000,21,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,VEHICLE OPERATION,AGGRESSIVE OR UNSAFE DRIVING,UNFOUNDED,INCIDENT LOCATION,LAWRENCE,3460,UNREPORTED,MALE,99999,780,BLACK,MALE,53,23,15-634,2015-03-25T01:20:00Z
