OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
127196,191,BURG-FORCIBLE ENT-RES DAY,2018-12-13T00:00:00.000Z,11:18,I190009753A,2001 N RITTER AVE,NE32,213761.22,1656292.05
127197,191,BURG-FORCIBLE ENT-RES DAY,2018-12-30T00:00:00.000Z,12:00,I190009781A,7858 ISLAND CLUB DR,NW41,149965.29,1663372.09
127198,191,BURG-FORCIBLE ENT-RES DAY,2019-01-02T00:00:00.000Z,06:00,I190000500A,3408 ALSUDA CT,ND42,204809.09,1674578.29
127199,191,BURG-FORCIBLE ENT-RES DAY,2019-01-02T00:00:00.000Z,06:30,I190001368A,4202 W MOORESVILLE RD,SW23,168499.71,1626723.16
127200,191,BURG-FORCIBLE ENT-RES DAY,2019-01-03T00:00:00.000Z,08:30,I190000996A,270 LOCKWOOD CT,SW52,188385.15,1606916.53
127201,191,BURG-FORCIBLE ENT-RES DAY,2019-01-03T00:00:00.000Z,12:00,I190001072A,729 N BOSART AVE,NE41,209063.83,1649766.86
127202,191,BURG-FORCIBLE ENT-RES DAY,2019-01-03T00:00:00.000Z,12:50,I190001364A,8055 BRAVO PL,SE34,209573.29,1603228.83
127203,191,BURG-FORCIBLE ENT-RES DAY,2019-01-03T00:00:00.000Z,16:40,I190001024A,1102 CANTERBURY SQ N,ND52,184528.25,1698749.62
127204,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,07:00,I190001488A,11141 WATERFIELD LN,NE53,243087.56,1669473.8
127205,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,08:32,I190001220A,11336 WATTS BAR CT,NE62,244596.54,1651996.18
127206,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,11:44,I190001282A,5108 E 37TH ST,ND31,211063,1666801.37
127207,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,12:56,I190001299A,1848 N ROUTIERS AVE,NE61,230557.24,1655936.07
127208,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,13:44,I190001547A,3907 ROOKWOOD AVE,ND11,187440.71,1667945.8
127209,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,14:52,I190002890A,5836 MINDEN DR,SW42,160331,1608209.63
127210,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,15:00,I190002379A,2457 E BRADBURY AVE,SE22,200933.27,1634129.84
127211,191,BURG-FORCIBLE ENT-RES DAY,2019-01-04T00:00:00.000Z,17:00,I190002262A,2530 CALABASH DR,SW51,177015.19,1611558.94
127212,191,BURG-FORCIBLE ENT-RES DAY,2019-01-05T00:00:00.000Z,09:36,I190001641A,5783 E 30TH ST,NE33,215324.33,1662048.89
