lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.0811307,39.9134166,41001,29095,2018-07-01,16:08:00:000,Operations division,North district,ND MIDDLE SHIFT,UNREPORTED,In compliance,"5228 E 86th Street, Indianapolis, IN",Physical-weight leverage,Combative Suspect,Call For Service,Yes,Possession of Marijuana/Hash (M),Unreported,Yes,Yes,Yes,Yes,6964,White,Male,121,Minor bleeding,3550,Black,Male,31,1,Unreported
-86.0811307,39.9134166,41002,29095,2018-07-01,16:08:00:000,Operations division,North district,ND MIDDLE SHIFT,UNREPORTED,In compliance,"5228 E 86th Street, Indianapolis, IN",Physical-weight leverage,Combative Suspect,Call For Service,Yes,Disorderly Conduct,Unreported,Yes,Yes,Yes,Yes,6964,White,Male,121,Minor bleeding,3550,Black,Male,31,1,Unreported
-86.2480995,39.6719275,41003,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Invasion of Privacy,Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,1539,White,Male,40,14,No injuries noted or visible
-86.2480995,39.6719275,41004,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,1539,White,Male,40,14,No injuries noted or visible
-86.2480995,39.6719275,41005,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Invasion of Privacy,Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,2966,White,Male,32,8,No injuries noted or visible
-86.2480995,39.6719275,41006,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,2966,White,Male,32,8,No injuries noted or visible
-86.2480995,39.6719275,41007,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Invasion of Privacy,Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,3018,White,Male,34,8,No injuries noted or visible
-86.2480995,39.6719275,41008,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-burning cs,Non-Compliant,SWAT Incident,Yes,Invasion of Privacy,Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,3018,White,Male,34,8,No injuries noted or visible
-86.2480995,39.6719275,41009,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-bps gas,Non-Compliant,SWAT Incident,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,3018,White,Male,34,8,No injuries noted or visible
-86.2480995,39.6719275,41010,29103,2018-07-01,Unreported,Homeland security division,Homeland security bureau/tactical,CANINE SECTION,CANINE UNIT - LATE TACTICAL,In compliance,"5113   Milhouse Road, Indianapolis, IN",Less lethal-burning cs,Non-Compliant,SWAT Incident,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,17224,White,Male,45,No injuries noted or visible,3018,White,Male,34,8,No injuries noted or visible
