zip,latitude,longitude,INCNUM
Postcode Not Found,NA,NA,38931
46220,39.87838989999999,-86.1265653,38914
46202,39.7642587,-86.1448879,39036
46241,39.75393200000001,-86.2635449,39088
46218,39.7948416,-86.065572,39071
46222,39.8098366,-86.2486804,39105
46227,39.7140506,-86.1209985,39213
Postcode Not Found,NA,NA,39215
Postcode Not Found,NA,NA,39262
46201,39.7834816,-86.09820649999999,37315
46241,39.759866,-86.23318770000002,37832
46222,39.8109574,-86.2286591,39365
46220:46240,39.8740839,-86.13095419999999,39532
Postcode Not Found,NA,NA,39692
46208,39.8103306,-86.17619839999999,39764
46229,39.797982,-85.99527909999999,41343
46219,39.7986752,-86.0070239,39811
46229,39.79730319999999,-86.04730409999999,39828
46206,39.756729,-86.1871624,39840
Postcode Not Found,NA,NA,39935
46221,39.699695,-86.23329500000001,38000
46204,39.7686226,-86.15653619999999,38126
46226,39.7854301,-86.1022163,42479
Postcode Not Found,NA,NA,39299
46202,39.7801406,-86.15988779999999,39466
46205,39.83834179999999,-86.1313808,39695
46206,39.7660582,-86.1970996,39926
46250,39.9248833,-86.0940358,39641
Postcode Not Found,NA,NA,39805
46201,39.7662203,-86.1319444,39910
46241,39.7527039,-86.2457187,39947
Postcode Not Found,NA,NA,40141
Postcode Not Found,NA,NA,39827
46226,39.7779745,-86.0640238,39965
Postcode Not Found,NA,NA,39989
46227,39.7542521,-86.1211952,40025
Postcode Not Found,NA,NA,40304
46235,39.8333623,-86.0101684,40435
46222,39.8096509,-86.22064739999999,40438
46224,39.770132,-86.263053,40715
Postcode Not Found,NA,NA,40529
46203,39.72471549999999,-86.1410693,40544
46222,39.8109574,-86.2286591,40599
Postcode Not Found,NA,NA,40602
46221,39.7145176,-86.2312329,40712
Postcode Not Found,NA,NA,40153
46222,39.8180624,-86.2269044,40292
46226,39.8128948,-86.0646549,40757
46201,39.7597869,-86.119959,40806
Postcode Not Found,NA,NA,40814
46201,39.772092,-86.08414069999999,40846
46217,39.6671831,-86.219026,38162
46201,39.7747591,-86.09502549999999,38212
46226,39.811553,-86.02883709999999,38253
46208,39.8603349,-86.15768469999999,38554
46218,39.7943521,-86.0880651,38453
Postcode Not Found,NA,NA,38454
46225,39.7609773,-86.15801549999999,38765
46226,39.828754000000004,-86.029015,38987
Postcode Not Found,NA,NA,41591
46208,39.8085043,-86.1678043,41055
46208,39.8234477,-86.1594578,41078
46222,39.78783,-86.215812,40973
46218,39.8224975,-86.0923581,41301
46201,39.77165249999999,-86.1023319,41437
46218,39.7942266,-86.10948119999999,40937
Postcode Not Found,NA,NA,41048
46237,39.6612506,-86.08512460000001,41064
46226,39.8351595,-86.0114189,41486
Postcode Not Found,NA,NA,41518
46218,39.7990644,-86.1334656,41170
46226,39.7977642,-86.0637205,41300
46222,39.7825046,-86.2038996,41524
46227,39.7067632,-86.1556894,41632
46219,39.7822973,-85.9835639,41403
46113,39.647886,-86.318561,41570
46222,39.8220885,-86.2141424,41674
46240,39.9029674,-86.1477903,41730
46201,39.7693932,-86.0919661,41713
46203,39.7368853,-86.1023112,41744
46220,39.8616533,-86.1314672,41766
Postcode Not Found,NA,NA,39576
Postcode Not Found,NA,NA,39711
46218,39.8107339,-86.1311339,41769
Postcode Not Found,NA,NA,42120
46221,39.7183802,-86.2312726,32397
46224,39.7682955,-86.2626404,41782
Postcode Not Found,NA,NA,41866
46201,39.7649787,-86.10944959999999,41915
46229,39.7960138,-85.9954793,32459
46201,39.7815192,-86.1139199,40046
Postcode Not Found,NA,NA,41033
46241,39.7491883,-86.2488868,41079
46220,39.8765056,-86.1437945,41319
462058,39.8281067,-86.12562059999999,41342
46203,39.7581678,-86.09031829999999,41470
46203,39.7576075,-86.1351914,41654
46219,39.7727745,-86.0495547,32348
46218,39.8005718,-86.10814839999999,40317
46235,39.8227474,-85.9667752,41875
46235,39.8248465,-86.1211652,41885
46107,39.7061416,-86.1142292,41934
Postcode Not Found,NA,NA,42106
46221,39.7494585,-86.19529840000001,42125
Postcode Not Found,NA,NA,42212
46225,39.7640344,-86.1587622,32492
46218,39.8209715,-86.112974,42282
46218,39.7834556,-86.11616819999999,42319
46219,39.7873001,-86.034978,32267
Postcode Not Found,NA,NA,40489
46254,39.8251968,-86.27810819999999,42113
46222,39.7766969,-86.2281823,42130
46268,39.8769656,-86.23859639999999,40871
46254,39.8293733,-86.2806461,41023
46204,39.7658962,-86.1588987,42288
