INCNUM,OFF_NUM,UOF_FORCE_TYPE,UOF_REASON,CIT_ARRESTED,CITCHARGE_TYPE,DISPOSITION,CIT_WEAPON_TYPE,OFF_SEX,CIT_SEX,OFF_RACE,OFF_AGE,CIT_AGE,YMD_TM,OBJECTID,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,FULL_ADD,SERVICE_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CIT_NUM,CIT_RACE,CIT_COND_TYPE,OFF_YR_EMPLOY,OFF_COND_TYPE,OCCURRED_WEEK_DAY,OCCURRED_HOUR,OCCURRED_QUARTER,OCCURRED_YEAR,lon,lat
44811,3268,PHYSICAL-HANDCUFFING,RESISTING ARREST,YES,CRIMINAL TRESPASS,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,31,2020-01-30T22:15:00Z,47,2020-01-30,22:15:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,19TH RECRUIT CLASS,"1041 W 18TH STREET, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,1053,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Thu,22,1,2020,-86.1793282,39.79104969999999
42955,3924,UNREPORTED,RESISTING ARREST,YES,UNREPORTED,UNREPORTED,UNREPORTED,MALE,MALE,WHITE,999999,999999,NA,56,NA,08:00:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,19TH RECRUIT CLASS,"NA   NA NA, NA, IN",CALL FOR SERVICE,NO,NO,NO,NO,430,UNREPORTED,COMPLAINT OF PAIN,999999,NO INJURIES NOTED OR VISIBLE,NA,NA,NA,NA,-84.42699759999999,34.0209697
51985,2902,LESS LETHAL-TASER,COMBATIVE SUSPECT,YES,BATTERY (M),UNREPORTED,UNREPORTED,MALE,MALE,WHITE,999999,999999,2020-11-03T09:00:00Z,120,2020-11-03,09:00:00,"OVERSIGHT, AUDIT & PERFORMANCE",PLANNING AND RESEARCH,UNREPORTED,UNREPORTED,"50 N ALABAMA STREET, INDIANAPOLIS, IN",ARREST,YES,YES,NO,NO,327,UNREPORTED,LACERATION,999999,UNREPORTED,Tue,9,4,2020,-86.15296219999999,39.7679599
47822,1520,LESS LETHAL-PEPPERBALL,NON-COMPLIANT,NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,39,2020-05-31T03:00:00Z,192,2020-05-31,03:00:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,"100 W MARYLAND STREET, INDIANAPOLIS, IN",ERG INCIDENT,NO,NO,NO,NO,881,WHITE,UNREPORTED,999999,UNREPORTED,Sun,3,2,2020,-86.1599769,39.765681
47662,1359,LESS LETHAL-PEPPERBALL,COMBATIVE SUSPECT,NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,999999,2020-05-30T23:30:00Z,200,2020-05-30,23:30:00,OPERATIONS DIVISION,SOUTHWEST DISTRICT,SW LATE SHIFT,UNREPORTED,"100 W MARKET STREET, INDIANAPOLIS, IN",ERG INCIDENT,YES,NO,NO,NO,327,UNREPORTED,SWELLING,999999,UNREPORTED,Sat,23,2,2020,-86.16065119999999,39.7689287
47981,1116,LESS LETHAL-PEPPERBALL,ASSAULTING OFFICER(S),NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,999999,2020-05-29T23:00:00Z,204,2020-05-29,23:00:00,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND AGG ASSAULT,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT UNIT,"200 W MARKET STREET, INDIANAPOLIS, IN",ERG INCIDENT,NO,NO,YES,YES,327,UNREPORTED,COMPLAINT OF PAIN,999999,UNREPORTED,Fri,23,2,2020,-86.16164479999999,39.7686026
47982,1116,LESS LETHAL-PEPPERBALL,ASSAULTING OFFICER(S),YES,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,999999,2020-05-29T23:00:00Z,219,2020-05-29,23:00:00,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND AGG ASSAULT,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT UNIT,"100 N CAPITAL AVENUE, INDIANAPOLIS, IN",ERG INCIDENT,NO,NO,NO,NO,327,UNREPORTED,COMPLAINT OF PAIN,999999,UNREPORTED,Fri,23,2,2020,-86.1619463,39.7654191
49584,3609,LESS LETHAL-CS/OC,ASSAULTING CITIZEN(S),NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,HISPANIC,999999,999999,2020-08-15T03:00:00Z,221,2020-08-15,03:00:00,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,UNREPORTED,"6380 W 34TH STREET, INDIANAPOLIS, IN",OFF-DUTY EMPLOYMENT,NO,NO,NO,NO,327,UNREPORTED,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Sat,3,3,2020,-86.2721303,39.8167611
52010,3954,UNREPORTED,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,30,2020-11-03T00:51:00Z,338,2020-11-03,00:51:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"4240 N SHADELAND AVENUE, INDIANAPOLIS, IN",CALL FOR SERVICE,NO,YES,YES,NO,1061,BLACK,NO INJURIES NOTED OR VISIBLE,999999,COMPLAINT OF PAIN,Tue,0,4,2020,-86.0485829,39.834135
51981,3954,PHYSICAL-OTHER,COMBATIVE SUSPECT,YES,IMMEDIATE DETENTION,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,30,2020-11-03T12:51:00Z,342,2020-11-03,12:51:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"4240 N SHADEAND AVENUE, INDIANAPOLIS, IN",ARREST,NO,YES,YES,NO,1061,BLACK,UNREPORTED,999999,COMPLAINT OF PAIN,Tue,12,4,2020,-86.0485829,39.834135
47821,1520,LESS LETHAL-PEPPERBALL,NON-COMPLIANT,NO,UNREPORTED,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,46,2020-05-30T00:05:00Z,401,2020-05-30,00:05:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE MIDDLE SHIFT,UNREPORTED,"200 E MARKET STREET, INDIANAPOLIS, IN",ERG INCIDENT,NO,NO,NO,NO,967,BLACK,UNREPORTED,999999,UNREPORTED,Sat,0,2,2020,-86.1543969,39.7684374
48772,3874,PHYSICAL-OTHER,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,FEMALE,BLACK,999999,28,2020-07-21T02:53:00Z,1018,2020-07-21,02:53:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"3811   COOPER SQUARE COURT, INDIANAPOLIS, IN",ARREST,YES,NO,NO,NO,1485,BLACK,MINOR SCRAPES,999999,NO INJURIES NOTED OR VISIBLE,Tue,2,3,2020,-86.1087136,39.8262449
44555,2540,UNREPORTED,RESISTING ARREST,YES,POSSESSION OF A HANDGUN (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,27,2020-01-23T12:45:00Z,1288,2020-01-23,12:45:00,CRIMINAL INVESTIGATION DIVISION,COVERT INVESTIGATIONS,CRIME GUN INTELLIGENCE CENTER,CGIC SQUAD 2,"3001 N CAPITOL STREET, INDIANAPOLIS, IN",ARREST,NO,NO,YES,NO,2055,BLACK,COMPLAINT OF PAIN,999999,MINOR SCRAPES,Thu,12,1,2020,-86.1610477,39.8103698
47093,3017,CANINE BITE,RESISTING ARREST,YES,WARRANT ARREST,IN COMPLIANCE,UNREPORTED,FEMALE,MALE,WHITE,999999,25,2020-05-03T17:05:00Z,1314,2020-05-03,17:05:00,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - MIDDLE,"9102 E 42ND STREET, INDIANAPOLIS, IN",ARREST,YES,NO,NO,NO,1439,BLACK,CANINE BITE,999999,NO INJURIES NOTED OR VISIBLE,Sun,17,2,2020,-86.008456,39.834057
46941,3377,PHYSICAL-TAKE DOWN,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,FEMALE,FEMALE,WHITE,999999,27,2020-04-27T04:17:00Z,1807,2020-04-27,04:17:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE LATE SHIFT,UNREPORTED,"4317 E WASHINGTON STREET, INDIANAPOLIS, IN",ARREST,NO,NO,NO,NO,2289,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Mon,4,2,2020,-86.09430859999999,39.76936389999999
51615,4020,LETHAL-HANDGUN,NON-COMPLIANT,YES,POSSESSION OF METHAMPHETAMINE,IN COMPLIANCE,UNREPORTED,FEMALE,MALE,WHITE,999999,34,2020-10-23T09:00:00Z,1983,2020-10-23,09:00:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,20TH RECRUIT CLASS,"4412 E 10TH STREET, INDIANAPOLIS, IN",SELF-INITIATED ACTIVITY,NO,NO,NO,NO,2473,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Fri,9,4,2020,-86.09406949999999,39.7817104
45355,3225,PHYSICAL-OTHER,NON-COMPLIANT,YES,PUBLIC INTOXICATION,IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,38,2020-02-15T00:25:00Z,2173,2020-02-15,00:25:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"2818   ROBSON STREET, INDIANAPOLIS, IN",CALL FOR SERVICE,NO,YES,NO,NO,1945,WHITE,UNREPORTED,999999,UNREPORTED,Sat,0,1,2020,-86.1158351,39.7738008
46858,3701,PHYSICAL-HANDCUFFING,COMBATIVE SUSPECT,YES,DOMESTIC BATTERY (F),IN COMPLIANCE,UNREPORTED,FEMALE,MALE,WHITE,999999,36,2020-04-22T01:40:00Z,2202,2020-04-22,01:40:00,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,UNREPORTED,"3740 N HIGH SCHOOL ROAD, INDIANAPOLIS, IN",INVESTIGATION,NO,NO,NO,NO,2027,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Wed,1,2,2020,-86.2720404,39.8229547
46587,3825,PHYSICAL-HANDCUFFING,RESISTING ARREST,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,FEMALE,WHITE,999999,28,2020-04-08T05:12:00Z,2234,2020-04-08,05:12:00,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,UNREPORTED,"8677   LOGO ATHLETIC COURT, INDIANAPOLIS, IN",ARREST,YES,NO,NO,NO,1722,BLACK,LACERATION,999999,UNREPORTED,Wed,5,2,2020,-86.0175783,39.8023135
50474,1457,PHYSICAL-WEIGHT LEVERAGE,FLEEING,NO,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,33,2020-09-06T03:40:00Z,2468,2020-09-06,03:40:00,ADMINISTRATION DIVISION,TRAINING BUREAU,RECRUIT TRAINING SECTION,20TH RECRUIT CLASS,"12TH N DELAWARE STREET, INDIANAPOLIS, IN",TRAFFIC STOP,NO,NO,NO,NO,1641,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Sun,3,3,2020,-86.154624,39.7819873
52798,3671,PHYSICAL-WEIGHT LEVERAGE,ASSAULTING OFFICER(S),NO,UNREPORTED,UNREPORTED,UNREPORTED,MALE,FEMALE,BLACK,999999,35,2020-11-22T19:38:00Z,2962,2020-11-22,19:38:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,"38TH N CAPITAL AVENUE, INDIANAPOLIS, IN",ARREST,YES,YES,NO,NO,2310,WHITE,COMPLAINT OF PAIN,999999,UNREPORTED,Sun,19,4,2020,-86.1615618,39.82490689999999
50956,3577,LESS LETHAL-BEAN BAG,NON-COMPLIANT,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,33,2020-09-27T01:00:00Z,3060,2020-09-27,01:00:00,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,UNREPORTED,"5900 N BROADWAY STREET, INDIANAPOLIS, IN",TRAFFIC STOP,YES,NO,NO,NO,1641,BLACK,COMPLAINT OF PAIN,999999,NO INJURIES NOTED OR VISIBLE,Sun,1,3,2020,-86.14807119999999,39.8622039
52856,3322,PHYSICAL-WEIGHT LEVERAGE,ASSAULTING OFFICER(S),YES,UNREPORTED,UNREPORTED,UNREPORTED,MALE,FEMALE,WHITE,999999,35,2020-11-22T20:00:00Z,3252,2020-11-22,20:00:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,"201 W 38TH STREET, INDIANAPOLIS, IN",ARREST,NO,YES,NO,NO,2310,WHITE,COMPLAINT OF PAIN,999999,NO INJURIES NOTED OR VISIBLE,Sun,20,4,2020,-86.1619415,39.8245422
47614,1491,PHYSICAL-TAKE DOWN,FLEEING,YES,RESISTING LAW ENFORCEMENT (M),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,54,2020-05-29T09:36:00Z,3625,2020-05-29,09:36:00,OPERATIONS DIVISION,SOUTHEAST DISTRICT,SE DAY SHIFT,SE DAY SHIFT,"3012 S TACOMA AVENUE, INDIANAPOLIS, IN",CALL FOR SERVICE,NO,NO,NO,NO,3125,WHITE,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Fri,9,2,2020,-86.1197933,39.7225396
47974,3781,UNREPORTED,RESISTING ARREST,YES,POINTING A FIREARM (F),IN COMPLIANCE,UNREPORTED,MALE,MALE,WHITE,999999,46,2020-06-08T19:44:00Z,3792,2020-06-08,19:44:00,OPERATIONS DIVISION,NORTH DISTRICT,ND MIDDLE SHIFT,UNREPORTED,"3347 N EMERSON AVENUE, INDIANAPOLIS, IN",INVESTIGATION,NO,NO,NO,NO,3442,BLACK,NO INJURIES NOTED OR VISIBLE,999999,NO INJURIES NOTED OR VISIBLE,Mon,19,2,2020,-86.08306379999999,39.8172263
